tier,id,institucion,sector,plataforma_empleo,requiere_js,dificultad,status_clasif,url_empleo,notas
1,128,Consejo Nacional de Televisión,Autónomo/Regulador,Sitio propio,No,Media,manual_review,https://www.cntv.cl/trabaja-con-nosotros,
1,135,Senado de la República,Legislativo,Sitio propio,No,Media,manual_review,https://www.senado.cl/transparencia/transparencia-activa/concursos,Publica concursos en sección de Transparencia del sitio
1,136,Cámara de Diputados,Legislativo,Sitio propio,No,Media,manual_review,https://www.camara.cl/transparencia/trabaje-con-nosotros,
1,137,Biblioteca del Congreso Nacional,Legislativo,Sitio propio,No,Media,manual_review,https://www.bcn.cl/concurso_publico/concursos,
1,138,Poder Judicial de Chile,Judicial,Sitio propio,No,Media,manual_review,https://www.pjud.cl/transparencia/trabaje-con-nosotros,"Publica concursos para jueces, notarios, conservadores y personal administrativo"
1,140,Tribunal de Defensa de la Libre Competencia,Judicial,Sitio propio,No,Media,manual_review,https://www.tdlc.cl/concursos_publicos/,
1,141,1er Tribunal Ambiental (Antofagasta),Judicial,Sitio propio,No,Baja,manual_review,https://www.1ta.cl/el-primer-tribunal-ambiental-concurso-7-13/,Poca frecuencia de publicación
1,142,2do Tribunal Ambiental (Santiago),Judicial,Sitio propio,No,Baja,manual_review,https://tribunalambiental.cl/trabaje-con-nosotros,
1,143,3er Tribunal Ambiental (Valdivia),Judicial,Sitio propio,No,Baja,manual_review,https://3ta.cl/concursos-publicos-i-tercer-tribunal-ambiental/,
1,144,Tribunal de Contratación Pública,Judicial,Sitio propio,No,Baja,manual_review,https://www.tcp.gob.cl/trabaje-con-nosotros,Baja frecuencia
2,380,Municipalidad de Santiago,Municipal,Portal propio + HiringRoom,Sí,Media,js_required,https://www.munistgo.cl/portal-laboral/,Portal Laboral propio con inscripción y seguimiento online. También usa HiringRoom y Trabajando.cl
2,392,Municipalidad de La Reina,Municipal,HiringRoom,Sí,Media,js_required,https://mlareina.hiringroomcampus.com/,Portal de postulaciones usa plataforma HiringRoom. También Trabajando.cl. Email: arearedlareina@mlareina.cl
2,398,Municipalidad de Maipú,Municipal,SPA JavaScript,Sí,Muy Alta,js_required,https://www.municipalidadmaipu.cl/concursos-publicos,Portal de concursos en SPA JavaScript. CODEDUC (educación) es entidad separada.
2,399,Municipalidad de Ñuñoa,Municipal,RecruitK (SPA JS),Sí,Media,js_required,https://www.nunoa.cl/concursos/,Portal de concursos usa RecruitK (JavaScript). También: recruitk.com/mnunoa
2,632,Municipalidad de Punta Arenas,Municipal,Vue.js SPA,Sí,Media,js_required,https://www.puntaarenas.cl/municipio/ofertas,Portal en Vue.js SPA. APS (salud): apscormupa.cl/postulaciones. Requiere JS.
2,648,Corporación Municipal de Viña del Mar,Municipal,Reqlut,Sí,Media,js_required,https://www.cmvm.cl,"Corporación mixta (educación, salud, deportes). Portal de postulaciones usa plataforma Reqlut."
2,649,Corporación Municipal de Quilpué,Municipal,Procit,Sí,Media,js_required,https://cmq.procit.cl/empleos/,Corporación mixta. Usa plataforma Procit para publicar empleos.
3,335,Municipalidad de Combarbalá,Municipal,HiringRoom,No,Baja,active,https://www.municombarbala.cl/bolsa-de-empleo/,HiringRoom | url via path estandar | link a https://omilcombarbala.hiringroom
3,348,Municipalidad de Calle Larga,Municipal,Trabajando.cl/OMIL,No,Baja,active,https://callelarga.omil.cl/,Portal OMIL propio en callelarga.omil.cl
3,370,Municipalidad de San Felipe,Municipal,Trabajando.cl/OMIL,No,Baja,active,http://sanfelipe.omil.cl/,Portal OMIL propio sanfelipe.omil.cl
