id,institucion,sigla,plataforma,sector,region,cargo,fecha_publicacion,fecha_scraped,url_oferta,url_bases,url_oferta_valida,url_bases_valida
25405,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"Reemplazo Educador_a Párvulos, JI Las Vizcachitas_ Puente Alto_ RMSO",2026-06-18,2026-06-19T20:15:17.846123Z,https://login.airavirtual.com/postula/6Bvyrox8PFIQMM8BAcpP,https://login.airavirtual.com/postula/6Bvyrox8PFIQMM8BAcpP,,
25403,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"PROYECTO Asistente de Párvulos Integral, JI Los Volcanes_El Bosque_RMSO",2026-06-18,2026-06-19T18:16:18.418890Z,https://login.airavirtual.com/postula/cF5AUEgzW4HK455c8fZu,https://login.airavirtual.com/postula/cF5AUEgzW4HK455c8fZu,,
25399,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"Reemplazo Educador_a Párvulos, JI Las Palmas II_ El Bosque_ RMSO",2026-06-18,2026-06-19T16:16:45.660484Z,https://login.airavirtual.com/postula/CqIaOlOF3ArqJvnjdaLU,https://login.airavirtual.com/postula/CqIaOlOF3ArqJvnjdaLU,,
25398,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"PROYECTO Asistente de Párvulos Integral ,segundo semestre, JI San Francisco de Asís _Las Condes_RMSO",2026-06-18,2026-06-19T16:16:44.964328Z,https://login.airavirtual.com/postula/yeeq1i7VVt1m0sJvMMWs,https://login.airavirtual.com/postula/yeeq1i7VVt1m0sJvMMWs,,
25397,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"Reemplazos Educadora/or párvulos, Segundo Semestre, jardines Comuna de los Espejo, RMSO.",2026-06-18,2026-06-19T16:16:44.268441Z,https://login.airavirtual.com/postula/nfoz2vUqGYphdG0NT7YL,https://login.airavirtual.com/postula/nfoz2vUqGYphdG0NT7YL,,
25396,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"Reemplazo Asistente TJMJ, JI San Francisco de Asís _Las Condes, RMSO",2026-06-18,2026-06-19T16:16:43.570280Z,https://login.airavirtual.com/postula/34dMYFiIZFsjUiGMqWMs,https://login.airavirtual.com/postula/34dMYFiIZFsjUiGMqWMs,,
25395,ENAER (Empresa Nacional de Aeronáutica),ENAER,Sitio propio,FF.AA. y Orden,Metropolitana de Santiago,Pedidor Aduanero,2026-06-19,2026-06-19T16:15:52.196956Z,https://www.enaer.cl/pdf/btrabajo/AVISO%20CONCURSO%20ABIERTO%20PEDIDOR%20ADUANERO.pdf,https://www.enaer.cl/pdf/btrabajo/AVISO%20CONCURSO%20ABIERTO%20PEDIDOR%20ADUANERO.pdf,,
25393,CODELCO — Corporación Nacional del Cobre,CODELCO,Sitio propio,Empresa del Estado,Antofagasta,Convocatoria Enfermeras/os Hospital del Cobre,2026-06-19,2026-06-19T16:14:27.492914Z,https://empleos.codelco.cl/job/Posada-Lilen-Convocatoria-Enfermerasos-Hospital-del-Cobre-2da_-1390000/1401659300/,https://empleos.codelco.cl/job/Posada-Lilen-Convocatoria-Enfermerasos-Hospital-del-Cobre-2da_-1390000/1401659300/,,
25392,Hospital Militar de Santiago,HMS,Laborum,FF.AA. y Orden,Metropolitana de Santiago,NuevoPublicado hace 5 horasANALISTA SOPORTA INFORMÁTICO-DIURNO,2026-06-19,2026-06-19T16:13:18.153676Z,https://www.laborum.cl/empleos/analista-soporta-informatico-diurno-hospital-militar-de-santiago-1118338183.html,https://www.laborum.cl/empleos/analista-soporta-informatico-diurno-hospital-militar-de-santiago-1118338183.html,,
25385,Hospital Militar de Santiago,HMS,Laborum,FF.AA. y Orden,Metropolitana de Santiago,NuevoPublicado hace 6 horasEU CLÍNICA PABELLONES QUIRÚRGICOS-DIURNO,2026-06-19,2026-06-19T14:13:42.213030Z,https://www.laborum.cl/empleos/eu-clinica-pabellones-quirurgicos-diurno-hospital-militar-de-santiago-1118338092.html,https://www.laborum.cl/empleos/eu-clinica-pabellones-quirurgicos-diurno-hospital-militar-de-santiago-1118338092.html,,
25377,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"PROYECTO Asistente de Párvulos Integral, JI María Luisa Bombal_El Bosque_RMSO",2026-06-18,2026-06-18T20:15:24.055709Z,https://login.airavirtual.com/postula/4yImgVF5jcpdpDHVCUNM,https://login.airavirtual.com/postula/4yImgVF5jcpdpDHVCUNM,,
25376,Hospital Militar de Santiago,HMS,Laborum,FF.AA. y Orden,Metropolitana de Santiago,"JEFE DEPTO CONTROL ASISTENCIA, LICENCIAS MÉDICAS Y SIAPER",2026-06-19,2026-06-18T20:11:57.882826Z,https://www.laborum.cl/empleos/jefe-depto-control-asistencia-licencias-medicas-y-siaper-hospital-militar-de-santiago-1118337267.html,https://www.laborum.cl/empleos/jefe-depto-control-asistencia-licencias-medicas-y-siaper-hospital-militar-de-santiago-1118337267.html,,
25373,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"Base de datos de reemplazos Segundo Semestre 2026, Auxiliar de Servicios, Comunas La Florida, Lo Espejo, La Reina, Lo Barnechea, Las Condes, Peñalolén , RMSO",2026-06-18,2026-06-18T18:14:20.213175Z,https://login.airavirtual.com/postula/twfqgXLPhN8Y0LoR66BJ,https://login.airavirtual.com/postula/twfqgXLPhN8Y0LoR66BJ,,
25367,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Los Ríos,"Base de datos Asistente de TJMJ, Valdivia, Región de Los Ríos",2026-06-18,2026-06-18T16:16:50.533175Z,https://login.airavirtual.com/postula/TjpzyL1BnKu0Rq2iWUun,https://login.airavirtual.com/postula/TjpzyL1BnKu0Rq2iWUun,,
25366,Fundación Integra,INTEGRA,Sitio propio,Ejecutivo Central,Metropolitana de Santiago,"Base de datos Reemplazos Segundo Semestre 2026, Asistente de Párvulos, Comunas La Reina, Las Condes, Lo Barnechea, Fundación Integra RMSO",2026-06-18,2026-06-18T16:16:49.834482Z,https://login.airavirtual.com/postula/8KyHCzUuStRt23wbG1zU,https://login.airavirtual.com/postula/8KyHCzUuStRt23wbG1zU,,
25358,Coordinador Eléctrico Nacional,CEN,Buk (RRHH),Autónomo/Regulador,Nacional,Ingeniero Transferencias de Energía y SSCC,2026-06-19,2026-06-18T14:11:36.492370Z,https://coordinador.buk.cl/s/2vPpniby9y3bowyX,https://coordinador.buk.cl/s/2vPpniby9y3bowyX,,
25061,Tribunal Constitucional,TC,Sitio propio,Judicial,Metropolitana de Santiago,Director de Estudios,2026-03-18,2026-06-18T06:23:06.124662Z,https://www1.tribunalconstitucional.cl/pasantias-y-concurso/0617director-de-estudios-investigacion-y-documentacion/,https://www1.tribunalconstitucional.cl/pasantias-y-concurso/0617director-de-estudios-investigacion-y-documentacion/,,
